--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
085.563  000.039  000.039: require('cmp.utils.highlight')
085.641  000.035  000.035: require('cmp.utils.debug')
085.649  000.084  000.048: require('cmp.utils.autocmd')
085.993  000.014  000.014: sourcing nvim_exec2() called at /home/ronin/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua:0
085.997  000.867  000.391: sourcing /home/ronin/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
086.002  000.896  000.029: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
086.010  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
086.025  000.002  000.002: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
086.863  000.059  000.059: require('cmp.utils.char')
086.871  000.108  000.050: require('cmp.utils.str')
087.031  000.038  000.038: require('cmp.utils.buffer')
087.044  000.131  000.093: require('cmp.utils.keymap')
087.048  000.174  000.043: require('cmp.utils.feedkeys')
087.185  000.045  000.045: require('cmp.config.mapping')
087.225  000.037  000.037: require('cmp.utils.cache')
087.317  000.044  000.044: require('cmp.config.compare')
087.321  000.092  000.047: require('cmp.config.default')
087.338  000.240  000.066: require('cmp.config')
087.349  000.299  000.060: require('cmp.utils.async')
087.427  000.035  000.035: require('cmp.utils.pattern')
087.432  000.081  000.047: require('cmp.context')
087.636  000.089  000.089: require('cmp.utils.snippet')
087.690  000.043  000.043: require('cmp.matcher')
087.697  000.214  000.081: require('cmp.entry')
087.703  000.269  000.055: require('cmp.source')
087.799  000.036  000.036: require('cmp.utils.event')
087.928  000.041  000.041: require('cmp.utils.options')
087.934  000.091  000.051: require('cmp.utils.window')
087.937  000.135  000.044: require('cmp.view.docs_view')
088.003  000.064  000.064: require('cmp.view.custom_entries_view')
088.087  000.081  000.081: require('cmp.view.wildmenu_entries_view')
088.152  000.062  000.062: require('cmp.view.native_entries_view')
088.234  000.079  000.079: require('cmp.view.ghost_text_view')
088.243  000.539  000.082: require('cmp.view')
089.315  002.622  001.151: require('cmp.core')
089.484  000.061  000.061: require('cmp.config.sources')
089.536  000.047  000.047: require('cmp.config.window')
089.595  003.564  000.834: require('cmp')
089.739  000.048  000.048: require('luasnip.session.enqueueable_operations')
090.082  000.066  000.066: require('luasnip.util.events')
090.096  000.157  000.091: require('luasnip.nodes.node')
090.238  000.141  000.141: require('luasnip.nodes.insertNode')
090.306  000.064  000.064: require('luasnip.nodes.textNode')
090.379  000.068  000.068: require('luasnip.util.mark')
090.433  000.051  000.051: require('luasnip.util.pattern_tokenizer')
090.487  000.051  000.051: require('luasnip.util.dict')
090.890  000.350  000.350: require('luasnip.util.jsregexp')
090.895  000.404  000.054: require('luasnip.nodes.util.trig_engines')
090.998  001.195  000.259: require('luasnip.nodes.snippet')
091.193  000.059  000.059: require('luasnip.util.parser.neovim_ast')
091.254  000.058  000.058: require('luasnip.util.str')
091.532  000.273  000.273: require('luasnip.util.jsregexp')
091.603  000.067  000.067: require('luasnip.util.directed_graph')
091.609  000.541  000.084: require('luasnip.util.parser.ast_utils')
091.694  000.083  000.083: require('luasnip.nodes.functionNode')
